Unnamed: 0,short_name,fish_id,time_point,tumor_volume,dt_min,time_in_min,cancer_cells,dpi,PixelSizeX,PixelSizeY,PixelSizeZ,time_in_h,tumor_volume_um,nr_of_fish
0,200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,0.0,660757.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,126105.8793820984,9.0
2,200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,2.0,699852.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,133567.1841498771,9.0
4,200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,4.0,731072.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0184,116.0,139525.54032969676,7.0
6,200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,6.0,779610.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0184,117.0,148789.04744872582,6.0
8,200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,8.0,829618.0,30.0,7080.0,LBT070,5,0.4329,0.4329,1.0184,118.0,158333.1049708406,6.0
10,200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,0.0,500010.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,95427.21567814345,9.0
12,200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,2.0,504583.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,96299.97553753856,9.0
13,200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,0.0,884598.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,168826.0717474737,9.0
15,200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,2.0,855225.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,163220.21665234742,9.0
17,200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,4.0,828457.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0184,116.0,158111.5274075872,7.0
19,200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,6.0,817988.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0184,117.0,156113.51232601987,6.0
21,200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,8.0,843857.0,30.0,7080.0,LBT070,5,0.4329,0.4329,1.0184,118.0,161050.6268684848,6.0
23,200804_LBT070_5dpi_Pos007,200804_LBT070_Pos007,0.0,1290238.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0222,114.0,247161.53105053352,9.0
25,200804_LBT070_5dpi_Pos007,200804_LBT070_Pos007,2.0,1253771.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0222,115.0,240175.812483246,9.0
27,200804_LBT070_5dpi_Pos007,200804_LBT070_Pos007,4.0,1185801.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0222,116.0,227155.2928074152,7.0
29,200804_LBT070_5dpi_Pos007,200804_LBT070_Pos007,6.0,1145393.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0222,117.0,219414.6254679863,6.0
31,200804_LBT070_5dpi_Pos007,200804_LBT070_Pos007,8.0,1129988.0,30.0,7080.0,LBT070,5,0.4329,0.4329,1.0222,118.0,216463.601404338,6.0
33,200804_LBT070_5dpi_Pos008,200804_LBT070_Pos008,0.0,1311432.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0222,114.0,251221.5118363149,9.0
35,200804_LBT070_5dpi_Pos008,200804_LBT070_Pos008,2.0,1245156.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0222,115.0,238525.4994479764,9.0
37,200804_LBT070_5dpi_Pos008,200804_LBT070_Pos008,4.0,1186309.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0222,116.0,227252.6066811141,7.0
39,200804_LBT070_5dpi_Pos008,200804_LBT070_Pos008,6.0,1124154.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0222,117.0,215346.0243587473,6.0
41,200804_LBT070_5dpi_Pos008,200804_LBT070_Pos008,8.0,1111322.0,30.0,7080.0,LBT070,5,0.4329,0.4329,1.0222,118.0,212887.89123412967,6.0
43,200929_LBT001_5dpi_Pos002,200929_LBT001_Pos002,0.0,990984.0,20.0,6840.0,LBT001,5,0.4329,0.4329,1.0184,114.0,189129.9052050745,4.0
46,200929_LBT001_5dpi_Pos002,200929_LBT001_Pos002,3.0,908395.0,20.0,6900.0,LBT001,5,0.4329,0.4329,1.0184,115.0,173367.74381701788,4.0
49,200929_LBT001_5dpi_Pos002,200929_LBT001_Pos002,6.0,832618.0,20.0,6960.0,LBT001,5,0.4329,0.4329,1.0184,116.0,158905.6568138726,4.0
52,200929_LBT001_5dpi_Pos002,200929_LBT001_Pos002,9.0,825048.0,20.0,7020.0,LBT001,5,0.4329,0.4329,1.0184,117.0,157460.91766328848,4.0
55,200929_LBT001_5dpi_Pos004,200929_LBT001_Pos004,0.0,599467.0,20.0,6840.0,LBT001,5,0.4329,0.4329,1.0222,114.0,114835.54315891344,4.0
58,200929_LBT001_5dpi_Pos004,200929_LBT001_Pos004,3.0,571493.0,20.0,6900.0,LBT001,5,0.4329,0.4329,1.0222,115.0,109476.76697218847,4.0
61,200929_LBT001_5dpi_Pos004,200929_LBT001_Pos004,6.0,627849.0,20.0,6960.0,LBT001,5,0.4329,0.4329,1.0222,116.0,120272.4769449872,4.0
64,200929_LBT001_5dpi_Pos004,200929_LBT001_Pos004,9.0,635808.0,20.0,7020.0,LBT001,5,0.4329,0.4329,1.0222,117.0,121797.12482051965,4.0
67,200929_LBT001_5dpi_Pos006,200929_LBT001_Pos006,0.0,833629.0,20.0,6840.0,LBT001,5,0.4329,0.4329,1.0222,114.0,159692.25830282876,4.0
70,200929_LBT001_5dpi_Pos006,200929_LBT001_Pos006,3.0,890038.0,20.0,6900.0,LBT001,5,0.4329,0.4329,1.0222,115.0,170498.1211010331,4.0
73,200929_LBT001_5dpi_Pos006,200929_LBT001_Pos006,6.0,889517.0,20.0,6960.0,LBT001,5,0.4329,0.4329,1.0222,116.0,170398.31691166855,4.0
76,200929_LBT001_5dpi_Pos006,200929_LBT001_Pos006,9.0,827039.0,20.0,7020.0,LBT001,5,0.4329,0.4329,1.0222,117.0,158429.8598231506,4.0
79,200929_LBT001_5dpi_Pos008,200929_LBT001_Pos008,0.0,505828.0,20.0,6840.0,LBT001,5,0.4329,0.4329,1.0184,114.0,96537.58455239685,4.0
82,200929_LBT001_5dpi_Pos008,200929_LBT001_Pos008,3.0,480154.0,20.0,6900.0,LBT001,5,0.4329,0.4329,1.0184,115.0,91637.68587972898,4.0
85,200929_LBT001_5dpi_Pos008,200929_LBT001_Pos008,6.0,455366.0,20.0,6960.0,LBT001,5,0.4329,0.4329,1.0184,116.0,86906.8808513699,4.0
88,200929_LBT001_5dpi_Pos008,200929_LBT001_Pos008,9.0,461282.0,20.0,7020.0,LBT001,5,0.4329,0.4329,1.0184,117.0,88035.95308582901,4.0
91,201006_LBT003_5dpi_Pos001,201006_LBT003_Pos001,0.0,1672435.0,20.0,6840.0,LBT003,5,0.4329,0.4329,1.0222,114.0,320376.2369287673,18.0
94,201006_LBT003_5dpi_Pos001,201006_LBT003_Pos001,3.0,1476384.0,20.0,6900.0,LBT003,5,0.4329,0.4329,1.0222,115.0,282820.1695024568,18.0
97,201006_LBT003_5dpi_Pos001,201006_LBT003_Pos001,6.0,1510703.0,20.0,6960.0,LBT003,5,0.4329,0.4329,1.0222,116.0,289394.4112967019,16.0
100,201006_LBT003_5dpi_Pos001,201006_LBT003_Pos001,9.0,1529690.0,20.0,7020.0,LBT003,5,0.4329,0.4329,1.0222,117.0,293031.6131075744,16.0
103,201006_LBT003_5dpi_Pos002,201006_LBT003_Pos002,0.0,1237311.0,20.0,6840.0,LBT003,5,0.4329,0.4329,1.0184,114.0,236141.56448458892,18.0
106,201006_LBT003_5dpi_Pos002,201006_LBT003_Pos002,3.0,1094001.0,20.0,6900.0,LBT003,5,0.4329,0.4329,1.0184,115.0,208790.7629429504,18.0
109,201006_LBT003_5dpi_Pos002,201006_LBT003_Pos002,6.0,1061521.0,20.0,6960.0,LBT003,5,0.4329,0.4329,1.0184,116.0,202591.9349890572,16.0
112,201006_LBT003_5dpi_Pos002,201006_LBT003_Pos002,9.0,1125459.0,20.0,7020.0,LBT003,5,0.4329,0.4329,1.0184,117.0,214794.5415689839,16.0
115,201006_LBT003_5dpi_Pos004,201006_LBT003_Pos004,0.0,929780.0,20.0,6840.0,LBT003,5,0.4329,0.4329,1.0222,114.0,178111.20765328957,18.0
118,201006_LBT003_5dpi_Pos004,201006_LBT003_Pos004,3.0,876636.0,20.0,6900.0,LBT003,5,0.4329,0.4329,1.0222,115.0,167930.79721261928,18.0
121,201006_LBT003_5dpi_Pos004,201006_LBT003_Pos004,6.0,779436.0,20.0,6960.0,LBT003,5,0.4329,0.4329,1.0222,116.0,149310.89854422485,16.0
124,201006_LBT003_5dpi_Pos004,201006_LBT003_Pos004,9.0,688612.0,20.0,7020.0,LBT003,5,0.4329,0.4329,1.0222,117.0,131912.40392839923,16.0
127,201006_LBT003_5dpi_Pos005,201006_LBT003_Pos005,0.0,2087363.0,20.0,6840.0,LBT003,5,0.4329,0.4329,1.0184,114.0,398374.51090893487,18.0
130,201006_LBT003_5dpi_Pos005,201006_LBT003_Pos005,3.0,1984308.0,20.0,6900.0,LBT003,5,0.4329,0.4329,1.0184,115.0,378706.4008477139,18.0
133,201006_LBT003_5dpi_Pos005,201006_LBT003_Pos005,6.0,1928125.0,20.0,6960.0,LBT003,5,0.4329,0.4329,1.0184,116.0,367983.840782025,16.0
136,201006_LBT003_5dpi_Pos005,201006_LBT003_Pos005,9.0,1778260.0,20.0,7020.0,LBT003,5,0.4329,0.4329,1.0184,117.0,339382.0134633614,16.0
139,201013_LBT070_5dpi_Pos003,201013_LBT070_Pos003,0.0,203692.0,15.0,6840.0,LBT070,5,0.4329,0.4329,1.0222,114.0,39019.798349409386,9.0
143,201013_LBT070_5dpi_Pos003,201013_LBT070_Pos003,4.0,200349.0,15.0,6900.0,LBT070,5,0.4329,0.4329,1.0222,115.0,38379.4040978822,9.0
147,201013_LBT070_5dpi_Pos003,201013_LBT070_Pos003,8.0,184237.0,15.0,6960.0,LBT070,5,0.4329,0.4329,1.0222,116.0,35292.94517457797,7.0
151,201013_LBT070_5dpi_Pos003,201013_LBT070_Pos003,12.0,156251.0,15.0,7020.0,LBT070,5,0.4329,0.4329,1.0222,117.0,29931.870234931004,6.0
155,201013_LBT070_5dpi_Pos003,201013_LBT070_Pos003,16.0,151156.0,15.0,7080.0,LBT070,5,0.4329,0.4329,1.0222,118.0,28955.85805678831,6.0
159,201013_LBT070_5dpi_Pos004,201013_LBT070_Pos004,0.0,289083.0,15.0,6840.0,LBT070,5,0.4329,0.4329,1.0222,114.0,55377.53257978867,9.0
163,201013_LBT070_5dpi_Pos004,201013_LBT070_Pos004,4.0,209942.0,15.0,6900.0,LBT070,5,0.4329,0.4329,1.0222,115.0,40217.06549629688,9.0
167,201013_LBT070_5dpi_Pos004,201013_LBT070_Pos004,8.0,189064.0,15.0,6960.0,LBT070,5,0.4329,0.4329,1.0222,116.0,36217.618537462135,7.0
171,201013_LBT070_5dpi_Pos004,201013_LBT070_Pos004,12.0,199357.0,15.0,7020.0,LBT070,5,0.4329,0.4329,1.0222,117.0,38189.37385632822,6.0
175,201013_LBT070_5dpi_Pos004,201013_LBT070_Pos004,16.0,223652.0,15.0,7080.0,LBT070,5,0.4329,0.4329,1.0222,118.0,42843.3907097093,6.0
179,201013_LBT070_5dpi_Pos007,201013_LBT070_Pos007,0.0,238633.0,15.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,45543.25465275176,9.0
183,201013_LBT070_5dpi_Pos007,201013_LBT070_Pos007,4.0,240899.0,15.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,45975.72214485525,9.0
187,201013_LBT070_5dpi_Pos007,201013_LBT070_Pos007,8.0,227624.0,15.0,6960.0,LBT070,5,0.4329,0.4329,1.0184,116.0,43442.180239438654,7.0
191,201013_LBT070_5dpi_Pos008,201013_LBT070_Pos008,0.0,108326.0,15.0,6840.0,LBT070,5,0.4329,0.4329,1.0222,114.0,20751.225752597653,9.0
195,201013_LBT070_5dpi_Pos008,201013_LBT070_Pos008,4.0,73257.0,15.0,6900.0,LBT070,5,0.4329,0.4329,1.0222,115.0,14033.311900726016,9.0
199,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,0.0,330364.0,15.0,6840.0,BT333,5,0.4329,0.4329,1.0222,114.0,63285.43419429473,10.0
203,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,4.0,308049.0,15.0,6900.0,BT333,5,0.4329,0.4329,1.0222,115.0,59010.71157304761,10.0
207,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,8.0,313870.0,15.0,6960.0,BT333,5,0.4329,0.4329,1.0222,116.0,60125.79830297274,10.0
211,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,12.0,331333.0,15.0,7020.0,BT333,5,0.4329,0.4329,1.0222,117.0,63471.05849274817,10.0
215,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,16.0,334680.0,15.0,7080.0,BT333,5,0.4329,0.4329,1.0222,118.0,64112.218995249365,10.0
219,210216_BT333_5dpi_Pos002,210216_BT333_Pos002,20.0,295454.0,15.0,7140.0,BT333,5,0.4329,0.4329,1.0222,119.0,56597.97881863991,10.0
223,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,0.0,598295.0,15.0,6840.0,BT333,5,0.4329,0.4329,1.0222,114.0,114611.0316235291,10.0
227,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,4.0,578296.0,15.0,6900.0,BT333,5,0.4329,0.4329,1.0222,115.0,110779.9683162326,10.0
231,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,8.0,544459.0,15.0,6960.0,BT333,5,0.4329,0.4329,1.0222,116.0,104298.05976435542,10.0
235,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,12.0,583229.0,15.0,7020.0,BT333,5,0.4329,0.4329,1.0222,117.0,111724.94732992796,10.0
239,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,16.0,565144.0,15.0,7080.0,BT333,5,0.4329,0.4329,1.0222,118.0,108260.53511369428,10.0
243,210216_BT333_5dpi_Pos004,210216_BT333_Pos004,20.0,565554.0,15.0,7140.0,BT333,5,0.4329,0.4329,1.0222,119.0,108339.07583853012,10.0
247,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,0.0,394310.0,15.0,6840.0,BT333,5,0.4329,0.4329,1.0222,114.0,75535.10539027362,10.0
251,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,4.0,380107.0,15.0,6900.0,BT333,5,0.4329,0.4329,1.0222,115.0,72814.33974431471,10.0
255,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,8.0,370792.0,15.0,6960.0,BT333,5,0.4329,0.4329,1.0222,116.0,71029.93278859359,10.0
259,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,12.0,335695.0,15.0,7020.0,BT333,5,0.4329,0.4329,1.0222,117.0,64306.65517990389,10.0
263,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,16.0,340947.0,15.0,7080.0,BT333,5,0.4329,0.4329,1.0222,118.0,65312.74270877639,10.0
267,210216_BT333_5dpi_Pos005,210216_BT333_Pos005,20.0,400937.0,15.0,7140.0,BT333,5,0.4329,0.4329,1.0222,119.0,76804.59169146138,10.0
271,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,0.0,1113814.0,15.0,6840.0,BT333,5,0.4329,0.4329,1.0184,114.0,212572.086164948,10.0
275,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,4.0,1157996.0,15.0,6900.0,BT333,5,0.4329,0.4329,1.0184,115.0,221004.24800789464,10.0
279,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,8.0,1066393.0,15.0,6960.0,BT333,5,0.4329,0.4329,1.0184,116.0,203521.7591821412,10.0
283,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,12.0,1089155.0,15.0,7020.0,BT333,5,0.4329,0.4329,1.0184,117.0,207865.90086583933,10.0
287,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,16.0,1100244.0,15.0,7080.0,BT333,5,0.4329,0.4329,1.0184,118.0,209982.2433283,10.0
291,210216_BT333_5dpi_Pos006,210216_BT333_Pos006,20.0,977982.0,15.0,7140.0,BT333,5,0.4329,0.4329,1.0184,119.0,186648.4655173738,10.0
295,210727_CME037_5dpi_Pos001,210727_CME037_Pos001,0.0,438575.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0184,114.0,83702.3081859198,9.0
298,210727_CME037_5dpi_Pos001,210727_CME037_Pos001,3.0,394118.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0184,115.0,75217.66242402859,9.0
301,210727_CME037_5dpi_Pos001,210727_CME037_Pos001,6.0,340252.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0184,116.0,64937.30323177469,9.0
304,210727_CME037_5dpi_Pos001,210727_CME037_Pos001,9.0,338887.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0184,117.0,64676.79214319513,9.0
307,210727_CME037_5dpi_Pos001,210727_CME037_Pos001,12.0,300186.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0184,118.0,57290.68251746798,9.0
310,210727_CME037_5dpi_Pos002,210727_CME037_Pos002,0.0,710919.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0184,114.0,135679.32789882214,9.0
313,210727_CME037_5dpi_Pos002,210727_CME037_Pos002,3.0,595110.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0184,115.0,113577.10910225783,9.0
316,210727_CME037_5dpi_Pos002,210727_CME037_Pos002,6.0,554138.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0184,116.0,105757.57773135549,9.0
319,210727_CME037_5dpi_Pos002,210727_CME037_Pos002,9.0,521227.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0184,117.0,99476.49316268008,9.0
322,210727_CME037_5dpi_Pos002,210727_CME037_Pos002,12.0,497163.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0184,118.0,94883.86397910609,9.0
325,210727_CME037_5dpi_Pos003,210727_CME037_Pos003,0.0,298019.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0222,114.0,57089.33725572255,9.0
328,210727_CME037_5dpi_Pos003,210727_CME037_Pos003,3.0,195267.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0222,115.0,37405.88223540504,9.0
331,210727_CME037_5dpi_Pos003,210727_CME037_Pos003,6.0,243530.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0222,116.0,46651.27492504207,9.0
334,210727_CME037_5dpi_Pos003,210727_CME037_Pos003,9.0,224773.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0222,117.0,43058.132545175045,9.0
337,210727_CME037_5dpi_Pos003,210727_CME037_Pos003,12.0,234546.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0222,118.0,44930.2752374201,9.0
340,210727_CME037_5dpi_Pos005,210727_CME037_Pos005,0.0,169910.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0222,114.0,32548.425748424823,9.0
343,210727_CME037_5dpi_Pos005,210727_CME037_Pos005,3.0,137433.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0222,115.0,26327.042527710368,9.0
346,210727_CME037_5dpi_Pos005,210727_CME037_Pos005,6.0,130737.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0222,116.0,25044.33839722097,9.0
349,210727_CME037_5dpi_Pos005,210727_CME037_Pos005,9.0,112149.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0222,117.0,21483.5701210058,9.0
352,210727_CME037_5dpi_Pos005,210727_CME037_Pos005,12.0,121657.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0222,118.0,23304.94868622281,9.0
355,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,0.0,1747448.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0032,114.0,328523.889642639,9.0
358,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,3.0,1714378.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0032,115.0,322306.6602713032,9.0
361,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,6.0,1580856.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0032,116.0,297204.2441806015,9.0
364,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,9.0,1537617.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0032,117.0,289075.22147763235,9.0
367,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,12.0,1539257.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0032,118.0,289383.54491788003,9.0
370,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,15.0,1438178.0,20.0,7140.0,CME037,5,0.4329,0.4329,1.0032,119.0,270380.4808832488,5.0
373,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,18.0,1479667.0,20.0,7200.0,CME037,5,0.4329,0.4329,1.0032,120.0,278180.49991522194,5.0
376,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,21.0,1476762.0,20.0,7260.0,CME037,5,0.4329,0.4329,1.0032,121.0,277634.3538213686,5.0
379,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,24.0,1460951.0,20.0,7320.0,CME037,5,0.4329,0.4329,1.0032,122.0,274661.85265444417,5.0
382,211005_CME037_5dpi_Pos001,211005_CME037_Pos001,27.0,1495331.0,20.0,7380.0,CME037,5,0.4329,0.4329,1.0032,123.0,281125.3647737827,5.0
385,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,0.0,1706580.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.0906,114.0,348792.6436179167,9.0
388,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,3.0,1690276.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.0906,115.0,345460.41467960353,9.0
391,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,6.0,1681163.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.0906,116.0,343597.8900037664,9.0
394,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,9.0,1647682.0,20.0,7020.0,CME037,5,0.4329,0.4329,1.0906,117.0,336755.007454474,9.0
397,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,12.0,1622610.0,20.0,7080.0,CME037,5,0.4329,0.4329,1.0906,118.0,331630.7653089031,9.0
400,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,15.0,1660065.0,20.0,7140.0,CME037,5,0.4329,0.4329,1.0906,119.0,339285.85822380247,5.0
403,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,18.0,1721082.0,20.0,7200.0,CME037,5,0.4329,0.4329,1.0906,120.0,351756.5778710704,5.0
406,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,21.0,1672352.0,20.0,7260.0,CME037,5,0.4329,0.4329,1.0906,121.0,341797.0884105698,5.0
409,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,24.0,1626245.0,20.0,7320.0,CME037,5,0.4329,0.4329,1.0906,122.0,332373.6904923408,5.0
412,211005_CME037_5dpi_Pos002,211005_CME037_Pos002,27.0,1729569.0,20.0,7380.0,CME037,5,0.4329,0.4329,1.0906,123.0,353491.1599981229,5.0
415,211005_CME037_5dpi_Pos003,211005_CME037_Pos003,0.0,721856.0,20.0,6840.0,CME037,5,0.4329,0.4329,1.1476,114.0,155244.5210541289,9.0
418,211005_CME037_5dpi_Pos003,211005_CME037_Pos003,3.0,459839.0,20.0,6900.0,CME037,5,0.4329,0.4329,1.1476,115.0,98894.35748543972,9.0
421,211005_CME037_5dpi_Pos003,211005_CME037_Pos003,6.0,538631.0,20.0,6960.0,CME037,5,0.4329,0.4329,1.1476,116.0,115839.6018318148,9.0
